MODALIDAD,TITULACION,TIPO_FORMACION,CARRERA_ESPECIALIDAD,turno,PLAN,DescTForm,DescCarre,Mail,Enlace,RUEE,RULE
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLÓGICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
SEMIPRESENCIAL,GRADO,PROFESORADO,ASTRONOMÍA,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLÓGICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLÓGICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
PRESENCIAL,GRADO,PROFESORADO,CIENCIAS BIOLÓGICAS,,2008,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,http://www.cfe.edu.uy/index.php/planes-y-programas/planes-vigentes-para-profesorado,cerpcentro@gmail.com,http://www.cerpcentro.org/,1408100,*
